,acura,audi,bmw,cadillac,honda,infiniti,lexus,mercedes,porsche,volvo
acura, ,2.8773126768955755,1.6884775808133472,2.8925823633852823,4.132260519121833,3.403676669370101,3.385564595402924,3.1661724452554747,1.2059216613549912,2.922374229642904
audi, , ,2.2303206997084546,3.917907703621988,2.310692616815065,3.01451247165533,3.223846558680778,4.197597789115647,2.697326818051165,3.7269949896126113
bmw, , , ,2.11269305019305,1.3361831218974083,2.4285714285714293,2.3094044207941056,3.083147321428572,1.8278420523138832,2.5085543199315654
cadillac, , , , ,2.2440780548888655,4.1096096096096115,5.147525749244946,7.430320945945947,2.418633422154549,6.960673248098397
honda, , , , , ,2.516087516087517,2.465621577369429,2.3588320463320467,1.594703355266736,1.7627679004924508
infiniti, , , , , , ,5.103788602355936,4.525462962962962,2.1416275430359937,3.902195608782436
lexus, , , , , , , ,6.039353510028652,1.6568465232656688,4.729595250759226
mercedes, , , , , , , , ,5.162852112676055,6.767870508982037
porsche, , , , , , , , , ,2.225900312051953
volvo, , , , , , , , , , 
