,acura,audi,bmw,infiniti,interior,lexus,performance,power,steering,value
acura, ,2.8773126768955755,1.6884775808133472,3.403676669370101,1.9324989131180923,3.385564595402924,1.9259831255181823,1.8657587972546024,2.036937838474217,2.024359191987778
audi, , ,2.2303206997084546,3.01451247165533,2.6014970251423457,3.223846558680778,2.2748056906504246,2.096131586963144,1.6731402238314674,2.010362284448663
bmw, , , ,2.4285714285714293,1.484549932825795,2.3094044207941056,1.8153436207445115,1.7670575692963746,2.0564516129032255,1.6943521594684385
infiniti, , , , ,1.9520492279112964,5.103788602355936,1.8384063350655775,1.6859038142620233,1.5766129032258065,2.6380993396497274
interior, , , , , ,2.1599105370471845,1.7198092591687555,3.1831750339213025,3.855040954596016,2.13785813224466
lexus, , , , , , ,2.021110267324395,1.5049394859513319,1.6263055735280525,1.8238155527420536
performance, , , , , , , ,2.2225509423927137,1.896149148645736,2.5314652716631274
power, , , , , , , , ,4.941622532498798,1.4928844151336342
steering, , , , , , , , , ,2.0165978994748683
value, , , , , , , , , , 
