,acura,audi,bmw,cadillac,honda,infiniti,lexus,mercedes,porsche,volvo
acura,0,0.347546517,0.347546517,0.347546517,0.347546517,0.347546517,0.347546517,0.347546517,0.347546517,0.347546517
audi, ,0,0.448366013,0.448366013,0.448366013,0.448366013,0.448366013,0.448366013,0.448366013,0.448366013
bmw, , ,0,0.347546517,0.347546517,0.347546517,0.347546517,0.347546517,0.347546517,0.347546517
cadillac, , , ,0,0.448366013,0.448366013,0.448366013,0.448366013,0.448366013,0.448366013
honda, , , , ,0,0.347546517,0.347546517,0.347546517,0.347546517,0.347546517
infiniti, , , , , ,0,0.448366013,0.448366013,0.448366013,0.448366013
lexus, , , , , , ,0,0.347546517,0.347546517,0.347546517
mercedes, , , , , , , ,0,0.448366013,0.448366013
porsche, , , , , , , , ,0,0.347546517
volvo, , , , , , , , , ,0
