,nb,nb2,value
0,fetterman,oz,1.288648886861285552240010304
1,fetterman,health,1.462324967530589602427187019
2,fetterman,school,1.392414664981036662452591656
3,fetterman,character,1.514317634692977994778421998
4,fetterman,women,1.399555253006580440208758793
5,oz,health,2.365024131215299950021613542
6,oz,school,0.1269743538943959775101279573
7,oz,character,2.277559904950207694679751129
8,oz,women,2.421508248020609935391629237
9,health,school,0.05577499594879274023659050397
10,health,character,2.933636568525006658880898232
11,health,women,1.359193747429041546688605512
12,school,character,0.03082736229287953425884460367
13,school,women,0.06876873126873126873126873127
14,character,women,3.132481579722959033303860890
