productName,rating,review
Coolship Red,4.3,"This is likely spot-on for style, but a bit too much pucker for me. Pours a beautiful berry-red with a quick-fading cap of white. Aroma is heavenly raspberry and very mild funk. Flavors are delicious as well, with tons of berry dominating. Very tart. So tart. But, I don't review so much for style attributes, but whether I enjoy. This one took me 2 sittings."
Coolship Red,3.95,"Thanks to Roy_Hobbs for this one, as part of the beatings he delivered during NBS BIF #15. 12.7oz Cork and Caged bottle (Packaged Dec 3 2020) poured into 14oz teku. Poured a lovely dark red color with about 1/8 inch of pink head that quickly dissipated and left no lacing.



The aroma was solidly full of raspberry, with just a light bit of grain in the background.



On the tongue, a big hit of bitterness punches the front of the palate, with raspberry dominating the rest.



The body was light, crisp, had decent carb, and a very dry finish.



Drinkability was very good, I'd like to have regular access to this.



Overall, a very good beer. A must-try if you see it."
Coolship Red,4.12,"375ml bottle from 2012.



Pours dark copper with a burgundy tinge. Quickly fizzling head with zero retention or lacing. Fairly evident raspberries in the nose with faint cider vinegar and diaper. Light bodied with a slickish, limp mouthfeel. Raspberries on the palate with a solid tartness but short of sour or jammy. Finishes with a nice balance of tart and raspberries."
Coolship Red,4.21,"Draft at the brewery. 



Lovely clear pinkish red. Smell is tart and kinda funky. Flavor follows, oak and funk manifest most in the swallow."
Coolship Red,4.24,"12.7oz corked and caged on 12/3/20. Opened 1-16-22.

1/2"" pink tinted head, limited retention and ends up as a partial cap and ring. No lacing. The beer is a glowing red/purple with very good clarity - beautiful color. Tart raspberry, oak, light funk, and vinous quality in the nose. Awesome tart raspberry flavor, bright, rich fruit with bracing acidity. Light body, bright entry, medium acid, all in a dry, tart fruit-filled finish. Outstanding."
Coolship Red,4.7,"Pours a vibrant red with low pink head.



Smell is tart and vinous with notes of fresh raspberries, raspberry jam, lime, oak and bit of funk.



Taste is phenomenal. Tart with tons of fresh raspberries and a bit of jam. Dry and vinous with notes of peach, oak, funk and a bit of bitterness. Nice acidity and tremendous balance.



Mouthfeel is medium and dry with effervescent carbonation.



Overall, a stunning beer. I am a huge fan for raspberries in beer, and this is close to the daddy, Cantillon's Rose de Gambrinus."
Coolship Red,4.59,Ruby red color somewhat translucent. Licorice and raspberry on the nose. Candied raspberry tart taste with some very yeast notes. Really pops in the mouth; crisp. Lots of flavors here. Solid beer.
Coolship Red,4.5,"Very interesting and complex ale. First, this is definitely a sour. I usually do not like sours but this is definitely one I will keep drinking. The nose is a very light raspberry with a hint of yeast or fruit wine influence. It is a beautiful deep red color. The taste definitely has a fruit wine influence with a subtle bubbly or spicy finish. Overall a fantastic well made beer, especially if you enjoy raspberries."
Coolship Red,4.49,"Appearance - The beer was pinkish red is color with white bubble clinging to the sides of the glass. 



Smell -,The nose brought to mind vinegary red berries. 



Taste - There was a lot of raspberry in the taste, but I also detected some tart cherries. It was surrounded by a vinegary presence. The profile was tart, but did not remove tooth enamel. Sourness was lessened by a dry finish. 



Mouthfeel - The carbonation was fairly intense, allowing for a dry finish. 



Overall - This was a fine, well balanced sour."
Coolship Red,4.5,"Look: beautiful, opaque garnet red. Soft white head evaporates quickly; no lace. Ring of tiny bubbles along the glass. 



Smell: subtle sour raspberries. Some funk. All gorgeous.



Taste: sharp, tangy, sour raspberry with some funk and vinegar. Beautiful rich fruit with sharp notes taking it up and up. 



Feel: Lots of sharp, active, elevating tiny bubbles. Sharp on the tongue in the best possible way.



This is a magnificent beer. All angles, sharpness, acid, funk, and fruit. And bubbles. It's alive..."
Coolship Red,4.24,"Caged and corked bottle dated dec3.,2020 and opened May 16,2021



Fizzy pink foam immediately evaporated over a translucent ruby red liquid 



Aroma is tart raspberries



Taste is tart , raspberry , and more tart , hint of apricot , the funk is there 



Very tart , fizzy sudsing , tart bone dry finish 



Good beer"
Coolship Red,3.46,I want more funk. The raspberry character is big but the beer lacks depth. Would love to get some musty barnyard or brett character to provide some dimension. Wouldn't buy again.
Flora,4.63,B7
Flora,4.46,"A: Retention becomes an accelerated rupture shortly after the discharge, which emanates a willowy throw-over. Nonetheless, the preceding kick-off presents a spumescent elegance, as the stretch reaches to inches ahead of that ensuing regression. That initial onset categorizes those collared inches from Arabian Oryx to shredded coconut, before the unseating takes a painter’s knife to the pebbly brim. Just below is a presentation on appearance that succumbs the Golden Shield Lichen, with a Tuscan sun appeal. The output continues with intermittent transfers, which later transcribe hues in chartreuse, as shades of dim scarlet calmly intersect. During the walk, a growing classiness from air drafts of duration, which polish an engraving collar endowment with coupled calm clarity



S: Entryway is greeted by an involvedness preempted by esters, and a countryside funk that’s just setting off. In that regard, the indulgence stretches across citrus fruits with a ploughed rusticity that incises the herbed wheat kindly. The scents carry on towards cameo apples besides the pear drop to honey bananas, while pink & white grapefruit alloy the baboon lemon kind of limes. There’s a touch of grainy malt, for the cracker-y moments, which respect the advancing yeast properties to umbrella remote spices. In the interim, a distant dank earthiness, for fresh hay and cut pastures, while pulling a dragged mustiness out from barnyard phenols. The aerated openness channels oak to the finer points inside dry/calibrated wine, as a background frowzy lays horse blankets atop cellar moths. The forward march is neatly acidic, while continuing to press earthy must on fading rose petals, before the dry & brittle antiques of wooden leather



T: A mineralogy reading, for foretaste to indulge, with the accompanying fruit + spices relating to the harvested derives. Inferences campaign on earthy farmsteads with feedlot jazz and cultivated tobacco, as a tempered acidity roots crimson red rhubarbs. On balance, a light malt baking to field hops with a toasted spiciness, while yeast properties grind along a rural bitterness. Accordingly, grassy provinces with situated granaries that stow garnered wheat. The vintage addresses contextual funk, and pushes agricultural sulfates thru river rock mulch, as fungus builds upon the air-dry acclimations. There’s a developing cue of Grüner Veltliner, by the elongated pour for grape tinges, and a furtherance for cellar natures. To that end, a docility on acidity, as notations add oddity for woodlot ecology and slurry manure, afore dry skin briefcases



M: A bright, light buoyancy with antiquated funk, and sharp vibrancy. The allotted span comes with arbitrated tartness, which is moderated throughout, as a compliment to the progressed barrenness. Thus, a thrilling attenuation that styles effervescence handily, as the timed exposure madcaps the resounding involvedness from side to side upon the clean-complete finish 



O: An environmental showcase that harvests funk habitually, with a touch of wheat malt in back to weigh hop efficiency. The moment of service is a period of effectiveness, given the dry bite for the webbed yeast densities and age aligning land-locks"
Flora,4.5,I had the 2016 version which is a blend of Florence age for 18 months in a selection of wine barrels whose providence includes art and civil disobedience number 10. Very good beer.
Red Eye November,4.74,"2021 release. Bottle to tumbler.



Look: Jet black with with lots of tiny floaters looking like golden stardust. No head. No lacing.



Smell: Malty, sweet and boozy. Clear notes of rye, molasses and coffee.



Taste: The rye is very present with the molasses adding sweetness, the coffee bitterness. Dark chocolate is there, malty and woody hints as well. The boozy barrel notes keep everything together very nicely. 



Feel: Full and thick. Rather creamy than syrupy. Very low carbonation.



Overall: At first, the combination of rye, molasses and coffee didn't sound too promising to me as I'm not a big fan of any of the three flavors in my stouts. However, in this case every single one of them adds to a perfectly balanced taste which, together with the creamy mouthfeel, results in a fantastic beer."
Red Eye November,4.41,"2021 release - batch 5. 13.3% ABV. Poured from a 500mL bottle into a snifter.



Clear (?) seal brown liquid with a faint tan collar. Vague sheen of tears; no head development. 



Rich, balanced aromas of coffee, roast malt, chocolate covered cherries, faint pipe tobacco, and molasses; perhaps an earthy hop note at times. 



Unctuous palate entry suffused with all the flavors from the nose, dialed up. Bittersweet chocolate, bright stone fruit/berry notes, leading to layers of cocoa, loam, treacle, and toasted brown sugar. Malt exhibits moderate roast qualities, but more forward character comes from the coffee and barrel. No char. Low bitterness. Medium-dry finish. Decent complexity, but more focus on balance and smoothness I think.



Oily, rich, medium-full body with dangerously disguised alcohol. 



Excellent example of the style, although, perhaps, the base beer is a touch subdued. Maybe not the best value, but I won't dock any points for that..."
Red Eye November,4.61,"Midnight black oily pour with a brown head. The nose is essentially a perfect ba coffee stout nose, and thus elevated the overall score a bit: huge and full coffee with tones of bean and grounds plus earth, bittersweet dark chocolate, rye, dried date, plus huge rich barrel notes with an emphasis on the molasses and vanillin laiden bourbon, wow. Taste has brighter complexion with semi-sweet chocolate, raisin, and barrel is not as powerful, loses the rye and some earth tones, but still excellent. Feel is chewy yet medium bodied, good barrel with the warmth in particular, but coffee is the clear star with roast and percolation for days. Overall just a little shy of being one of the greats, but the smell is there"
Red Eye November,4.75,"Pours a deep black color with a light brown colored head that leaves a little lacing down the glass. Smells of the deep roasted malt base, sweet molasses, and a nice blast of earthy coffee at the end. Tastes of sweet molasses, coffee, toffee, a hint of spicy rye at the end. Thick, smooth, perfect amount of carbonation, excellent feeling and excellent beer!"
Schaarbeekse Kriek,4.5,2019
Schaarbeekse Kriek,4.35,"2022-07-16

750ml corked/caged bottle served in a tulip. Bottling date 08/26/2020. Bought it earlier today at Chuck's Hop Shop Seward Park. It was expensive.



Pours a dark purplish red with a small to nonexistent head -- a thin white ring around the glass, with sparse carbonation. Fairly hazy. Smell is rich berry jam and oaky acid tartness.



Taste is similar -- rich berry jam, more on the oak and less on the acid, almost a funk to it, and something that hints at a butteriness, not diacetyl, but something that just makes it seem fuller and richer. Moderate fruit skin bitterness characteristic.



Mouthfeel is medium bodied, very dry. Overall, this is a very good beer."
Schaarbeekse Kriek,4.3,"750ml brown bottle, caged and corked. Label has bottling date of '08/26/2020', with best before date of '10/26/2040'.



Notes on label: ""For this Schaarbeekse Kriek, we macerated locally grown and manually harvested sour cherries for almost fourteen months in wooden barrels, with both one-year and two-year old lambik. The final fruit intensity is about 318 grams of Schaarbeekse per litre of finished Schaarbeekse Kriek. The average age of this beer upon release will be at least two-and-a-half years.""



Clear, cherry red colored body. Fizzy head quickly disappeared. No lacing.

Aroma is cherry, funk and oak. Funk is more leather and tobacco like. Indications of sourness but the oak gives off an old wood fibe.

Taste is quite sour, each sip leaves the mouth dry. There is a sour cherry flavor that still gives off a brief hint of fruit sweetness. At this time the funk flavor is showing less than what is in the nose, but remains in the leather and tobacco expression. Has quite a bit of oak tannins, especially on the exhale of the breath and in the released air from the stomach.

Medium mouth feel. Good carbonation.

Very good fruited lambic, although could likely increase more complexity and funk expression with bottle aging."
Schaarbeekse Kriek,4.33,"Bottle, at Plan B, Copenhagen. Beautiful red colour, pink head. Delightful cherry aroma. Sour cherry flavour on a funky background. A very good kriek lambic."
Schaarbeekse Kriek,4.5,"Lci 



Great cherry character throughout. Have another bottle and will update my review when that gets cracked"
Schaarbeekse Kriek,4.75,Bottled date 07/08/19 Assemblage 99 Quite simply wonderful. I don’t have words to describe properly but every aspect of this is brilliant
Kentuckley,4.45,"Tar black body; very fizzy carbonation; thin, patchy, brown head. Rich, roasted and charred grain aroma; heavy chocolate presence; cocoa. Immense dark malt sweetness greets the palate; milk chocolate; coffee and caffeine; bourbon tones bleed midway through the malt sweetness and linger through the finish. Heavy body; dense, sticky residual sugars; huge alcohol warmth permeates through the density.



The initial appearance makes you think this is just another heavy-duty barrel-aged imperial stout. Distinction begins with the aroma, announces itself with the taste, and is undeniable with the incredible mouthfeel. An amazing stout!



Pouring temperature: 43 °F; bottling info: 2021 Vintage"
Kentuckley,4.26,"Brief Review:



O: First Transient review for me I believe. Never really got into these guys as I'm more old school. But they're really making a name for themselves with the -uckley series with 2 of them in the Top 250 now. Most recent 2021 edition here, haven't seen 2022's yet. This one comes a bit hot for me. Little boozy and tingly on the tongue. Aroma is a little suppressed. Reminds me a bit of Vanilla Noir from Prairie if it had some maple syrup in it. Otherwise the pour and mouthfeel are nice and slick, which is impressive. It's a darn good beer, not gonna lie, but maybe not world-class for me right now. 



Recommendation: Decent offering from Transient here. They make a ton of BA stuff with lots of variants, so hard to get anything to stand out."
Kentuckley,4.49,2020 version. No carbination. Very thicc. Nice feel with a light alcohol burn on the back end. Very well done brew.
Kentuckley,4.66,"A beer that is somehow powerful yet subtle at the same time. Mild dark tan lacing. Scents of coffee, vanilla, and bourbon, mild maple syrup notes. Taste delivers all of those flavors, with a stronger maple presence. Big bodied, a bit syrupy and thick, but not oily, a pleasant booze burn on the back end. Damn good."
Kentuckley,4.16,Bottle courtesy of JohnnyHops
Jam The Radar,4.46,"Black, a light behind it could not shine through, small head that faded to a ring. Smell of raspberry and chocolate. Tasted rich consistent to the smell, perfect for warming up with in cold weather. A little tart while holding in the mouth. Overall a nice drink for a cold Pennsylvania evening"
Jam The Radar,4.14,"L: Brown/black motor oil.

S: Musty chocolate.

T: Strong lush raspberry with a light bretty body and solid dark chocolate finish. 

F: Chocolate raspberry.

O: A unique and simple raspberry with chocolate finish."
Jam The Radar,4.17,Raspberry tootsie pop.
Jam The Radar,4.5,"2021 Release



Appearance: Very dark brown bordering on black with purple undertones. The beer has a modest sized dark beige head, that also has some purple undertones which faded fairly quickly to a nice ring. Nice looking Imperial Stout and the purple undertones are a nice touch..



Smell: Prominent raspberries, moderate Bourbon aromas and brown sugar aromas, and mild roasted malts/coffee aromas. The beer has a good nose featuring the raspberries.



Taste: The palate features raspberries, moderate bourbon notes, modest chocolate and roasted malt notes. The taste profile is nicely balanced and while the raspberries are very apparent all the flavor elements work well together. The beer starts off fairly sweet but dries up a bit. The beer has a mild alcohol presence for the listed 14.56% ABV.



Mouth-feel: On the heavy side of medium bodied with a moderate level of carbonation that results in a nice mouthfeel for this beer.



Overall: Another well done Bottle Logic stout. The taste profile nicely balances all the flavor elements resulting in a very cohesive taste profile. Very nice."
Jam The Radar,4.37,"Look - fantastic black with a great tan head

Smell - chocolate raspberry and roasty malts

Taste - easy on the raspberry with some nice chocolate and roasty malts and nice barrel

Feel - medium full body syrupy almost not carb

Overall - pretty tasty"
