,id,location,created_at,username,,following,followers,retweetcount,favorite,text
0,1.57E+18,claiming to have money that you do not have does not amount to the art of the deal,9/25/22 21:23,PresBoneSpurs,,712,80,0,0,"Funny vs. Personal
Fetterman vs. Oz https://t.co/rE6zAmZwGt"
1,1.57E+18,,9/25/22 21:19,RussGottJr,,283,86,0,0,"John Fetterman Is a Radical Leftist â€” When Will Pa. Find Out? | Newsmax

https://t.co/zSfsfXtJns"
2,1.57E+18,,9/25/22 21:11,Sandramaffett3,,408,279,11,0,John Fetterman Is a Radical Leftist â€” When Will Pa. Find Out? | https://t.co/lKH7YJBkCU https://t.co/2ETEEbs0p2
3,1.57E+18,,9/25/22 21:09,marianapeba,,93,31,0,1,"@DemsAbroad Please share candidates in competitive Senate races like.
Blue:
@ReverendWarnock GA
@CortezMasto NV
@CaptMarkKelly AZ
@Maggie_Hassan NH
@MichaelBennet CO

Possible Blue:
@TimRyan OH
@TheOtherMandela WI
@JohnFetterman PA
@CheriBeasleyNC NC
@valdemings FL"
4,1.57E+18,"phoenix, az",9/25/22 21:08,kmorga1,,2635,2058,0,0,"Vote @JohnFetterman for US Senate PA!

His opponent is not only NOT a real resident of PA, he is NOT really an American!! https://t.co/UUrwAutAoH"
5,1.57E+18,"grand rapids, mi",9/25/22 21:08,Cherib1965,,3498,4171,0,0,"@JohnFetterman If Fetterman missed 50 council meetings as fmr mayor, how many senate hearings will he miss? 
If he allowed crime to increase by 58% in PA as he did, why do you think Fetterman will do anything for PA as a Senator? He won't.
#Vote4DrOz #MakePAGreatAgain."
6,1.57E+18,,9/25/22 21:07,Auto_Bond,,726,749,0,0,"@DrOz ""Deflects""?  Gee, Doc Croc, what do you call it when you won't give a straight answer on Abortion?
""Being Shy""?

Vote for @JohnFetterman for US Senate
Vote for @JoshShapiroPA  for PA Governor
Vote for @Oprah to drag Doc Croc back to Cliffside Park NJ by his heels..."
7,1.57E+18,"maryland, usa",9/25/22 21:06,chiquiesteban,,806,11078,4,0,"Polished politicians in the streets, meme combatants in the tweets - How Fetterman and Oz use social media to paint portraits of the other, illustrated.

W/ @hannahdormido &amp; @KevinUhrm

https://t.co/6PB8F22aaf"
8,1.57E+18,united federation of planets,9/25/22 21:03,Shane_maps,,2326,3772,13,0,"the 2022 PA Senate Primary In Philly, A Fetterman Upset, most people thought that Kenyatta would end up carry the City due to PA's Geographically polarized primary, but due to Fetterman's strength with Liberal and WWC Whites throughout Philly he was able to win the City with 37% https://t.co/0X5KC08qPu"
9,1.57E+18,,9/25/22 21:03,DeeAnnBembry,,261,123,0,1,"@SparkyBru He certainly is evil , should never represent PA in the senate. His vote would be wrong for all Americans!"
10,1.57E+18,"chicago, illinois",9/25/22 21:01,EnderElections,,1439,342,13,0,"the 2022 PA Senate Primary In Philly, A Fetterman Upset, most people thought that Kenyatta would end up carry the City due to PA's Geographically polarized primary, but due to Fetterman's strength with Liberal and WWC Whites throughout Philly he was able to win the City with 37% https://t.co/0X5KC08qPu"
11,1.57E+18,,9/25/22 21:00,Axelrod__2,,404,261,0,0,John Fetterman Is a Radical Leftist â€” When Will Pa. Find Out? https://t.co/1lMrDqGRL6
12,1.57E+18,,9/25/22 20:59,marianapeba,,93,31,0,0,"@MomsDemand Please share candidates in competitive Senate races like.
Blue:
@ReverendWarnock GA
@CortezMasto NV
@CaptMarkKelly AZ
@Maggie_Hassan NH
@MichaelBennet CO

Possible Blue:
@TimRyan OH
@TheOtherMandela WI
@JohnFetterman PA
@CheriBeasleyNC NC
@valdemings FL"
13,1.57E+18,,9/25/22 20:59,EmmaRaines20,,3613,899,13,0,"the 2022 PA Senate Primary In Philly, A Fetterman Upset, most people thought that Kenyatta would end up carry the City due to PA's Geographically polarized primary, but due to Fetterman's strength with Liberal and WWC Whites throughout Philly he was able to win the City with 37% https://t.co/0X5KC08qPu"
14,1.57E+18,,9/25/22 20:56,Auto_Bond,,726,749,0,1,"@JoshShapiroPA #Handled   #Next 

Vote for @JoshShapiroPA  for PA Governor

Vote for @JohnFetterman for US Senate"
15,1.57E+18,"columbia, pa",9/25/22 20:55,Robert_Lasagna,,668,87,9,0,"We're concerned to see failed state senate candidate Mike Millerâ€™s name in consideration for an open seat on the @GoMounts board. When Miller was running for state senate, he made himself known as an extremist, far to the right of most Republicans in the PA state legislature: ðŸ§µ https://t.co/9ZH4tqWRsE"
16,1.57E+18,united states of america,9/25/22 20:52,DavidJacobsJr,,308,211,11,0,John Fetterman Is a Radical Leftist â€” When Will Pa. Find Out? | https://t.co/lKH7YJBkCU https://t.co/2ETEEbs0p2
17,1.57E+18,,9/25/22 20:51,BeckyYeager7,,218,215,4,0,John Fetterman Is a Radical Leftist â€” When Will Pa. Find Out? https://t.co/rlPi1wLga0
18,1.57E+18,"mars, pa",9/25/22 20:50,key7759,,1839,1381,2,0,Newsmax: John Fetterman Is a Radical Leftist - When Will Pa. Find Out? Read John Gizzi's Report https://t.co/wOR1CSaFLT
19,1.57E+18,"red turning purple, usa",9/25/22 20:49,ratfink6923,,386,776,0,0,"I'm not in PA, but I hope Fetterman goes to the Senate to represent the people he clearly gives a damn about. 

If only every senator was so genuine. https://t.co/Nmp7n8TkbX"
20,1.57E+18," smalltown , pa",9/25/22 20:48,ericewei,,197,22,0,0,John Fetterman Is a Radical Leftist â€” When Will Pa. Find Out? https://t.co/EmBoVoMpps
21,1.57E+18,,9/25/22 20:46,dw_subbed,,744,447,5,0,"DDHQ Forecast Update: Sept. 20

New Senate Polls:
GA via U. Georgia SPIA: Walker (R)+1.6
GA via Marist: Warnock (D)+5
WI via Siena: Barnes (D)+1

New House Polls:
PA-08 via Greenberg Quinlan Rosner: Cartwright (D)+8

Watch our latest forecast video here: https://t.co/rJBA97IYr1 https://t.co/IG0mYM1Sor"
22,1.57E+18,the world,9/25/22 20:46,Gyggy,,5000,2057,13,0,Good to see @CheriBeasleyNC on national TV. I still think this is Democratsâ€™ best Senate pickup opportunity after PA. https://t.co/RR5y4aqaEW
23,1.57E+18,,9/25/22 20:45,RealLPerezLA,,3492,565,13,0,"the 2022 PA Senate Primary In Philly, A Fetterman Upset, most people thought that Kenyatta would end up carry the City due to PA's Geographically polarized primary, but due to Fetterman's strength with Liberal and WWC Whites throughout Philly he was able to win the City with 37% https://t.co/0X5KC08qPu"
24,1.57E+18,"charlottesville, va",9/25/22 20:45,JMilesColeman,,4961,50438,13,0,"the 2022 PA Senate Primary In Philly, A Fetterman Upset, most people thought that Kenyatta would end up carry the City due to PA's Geographically polarized primary, but due to Fetterman's strength with Liberal and WWC Whites throughout Philly he was able to win the City with 37% https://t.co/0X5KC08qPu"
25,1.57E+18,indiana,9/25/22 20:42,NotVisclosky,,971,770,13,0,"the 2022 PA Senate Primary In Philly, A Fetterman Upset, most people thought that Kenyatta would end up carry the City due to PA's Geographically polarized primary, but due to Fetterman's strength with Liberal and WWC Whites throughout Philly he was able to win the City with 37% https://t.co/0X5KC08qPu"
26,1.57E+18,,9/25/22 20:39,sof858usa,,529,246,11,0,John Fetterman Is a Radical Leftist â€” When Will Pa. Find Out? | https://t.co/lKH7YJBkCU https://t.co/2ETEEbs0p2
27,1.57E+18,,9/25/22 20:32,Susiescelfo,,182,143,0,1,"@ToddRaptor1 @Politics_Polls @YouGovAmerica @CBSNewsPoll My prediction for the Senate is R+1. I think R's will hold WI, OH, &amp; FL. NV will flip Red. PA is a likely flip for the D's. GA is a tossup"
