,id,concatenated,created_at,username,,following,followers,retweetcount,favorite,text,location
0,1.57E+18,"Funny vs. Personal
Fetterman vs. Oz https://t.co/rE6zAmZwGtclaiming to have money that you do not have does not amount to the art of the deal",9/25/22 21:23,PresBoneSpurs,,712,80,0,0,"Funny vs. Personal
Fetterman vs. Oz https://t.co/rE6zAmZwGt",claiming to have money that you do not have does not amount to the art of the deal
1,1.57E+18,"John Fetterman Is a Radical Leftist Ã¢â‚¬â€ When Will Pa. Find Out? | Newsmax

https://t.co/zSfsfXtJns",9/25/22 21:19,RussGottJr,,283,86,0,0,"John Fetterman Is a Radical Leftist Ã¢â‚¬â€ When Will Pa. Find Out? | Newsmax

https://t.co/zSfsfXtJns",
2,1.57E+18,John Fetterman Is a Radical Leftist Ã¢â‚¬â€ When Will Pa. Find Out? | https://t.co/lKH7YJBkCU https://t.co/2ETEEbs0p2,9/25/22 21:11,Sandramaffett3,,408,279,11,0,John Fetterman Is a Radical Leftist Ã¢â‚¬â€ When Will Pa. Find Out? | https://t.co/lKH7YJBkCU https://t.co/2ETEEbs0p2,
3,1.57E+18,"@DemsAbroad Please share candidates in competitive Senate races like.
Blue:
@ReverendWarnock GA
@CortezMasto NV
@CaptMarkKelly AZ
@Maggie_Hassan NH
@MichaelBennet CO

Possible Blue:
@TimRyan OH
@TheOtherMandela WI
@JohnFetterman PA
@CheriBeasleyNC NC
@valdemings FL",9/25/22 21:09,marianapeba,,93,31,0,1,"@DemsAbroad Please share candidates in competitive Senate races like.
Blue:
@ReverendWarnock GA
@CortezMasto NV
@CaptMarkKelly AZ
@Maggie_Hassan NH
@MichaelBennet CO

Possible Blue:
@TimRyan OH
@TheOtherMandela WI
@JohnFetterman PA
@CheriBeasleyNC NC
@valdemings FL",
4,1.57E+18,"Vote @JohnFetterman for US Senate PA!

His opponent is not only NOT a real resident of PA, he is NOT really an American!! https://t.co/UUrwAutAoHphoenix, az",9/25/22 21:08,kmorga1,,2635,2058,0,0,"Vote @JohnFetterman for US Senate PA!

His opponent is not only NOT a real resident of PA, he is NOT really an American!! https://t.co/UUrwAutAoH","phoenix, az"
5,1.57E+18,"@JohnFetterman If Fetterman missed 50 council meetings as fmr mayor, how many senate hearings will he miss? 
If he allowed crime to increase by 58% in PA as he did, why do you think Fetterman will do anything for PA as a Senator? He won't.
#Vote4DrOz #MakePAGreatAgain.grand rapids, mi",9/25/22 21:08,Cherib1965,,3498,4171,0,0,"@JohnFetterman If Fetterman missed 50 council meetings as fmr mayor, how many senate hearings will he miss? 
If he allowed crime to increase by 58% in PA as he did, why do you think Fetterman will do anything for PA as a Senator? He won't.
#Vote4DrOz #MakePAGreatAgain.","grand rapids, mi"
6,1.57E+18,"@DrOz ""Deflects""?  Gee, Doc Croc, what do you call it when you won't give a straight answer on Abortion?
""Being Shy""?

Vote for @JohnFetterman for US Senate
Vote for @JoshShapiroPA  for PA Governor
Vote for @Oprah to drag Doc Croc back to Cliffside Park NJ by his heels...",9/25/22 21:07,Auto_Bond,,726,749,0,0,"@DrOz ""Deflects""?  Gee, Doc Croc, what do you call it when you won't give a straight answer on Abortion?
""Being Shy""?

Vote for @JohnFetterman for US Senate
Vote for @JoshShapiroPA  for PA Governor
Vote for @Oprah to drag Doc Croc back to Cliffside Park NJ by his heels...",
7,1.57E+18,"Polished politicians in the streets, meme combatants in the tweets - How Fetterman and Oz use social media to paint portraits of the other, illustrated.

W/ @hannahdormido &amp; @KevinUhrm

https://t.co/6PB8F22aafmaryland, usa",9/25/22 21:06,chiquiesteban,,806,11078,4,0,"Polished politicians in the streets, meme combatants in the tweets - How Fetterman and Oz use social media to paint portraits of the other, illustrated.

W/ @hannahdormido &amp; @KevinUhrm

https://t.co/6PB8F22aaf","maryland, usa"
8,1.57E+18,"the 2022 PA Senate Primary In Philly, A Fetterman Upset, most people thought that Kenyatta would end up carry the City due to PA's Geographically polarized primary, but due to Fetterman's strength with Liberal and WWC Whites throughout Philly he was able to win the City with 37% https://t.co/0X5KC08qPuunited federation of planets",9/25/22 21:03,Shane_maps,,2326,3772,13,0,"the 2022 PA Senate Primary In Philly, A Fetterman Upset, most people thought that Kenyatta would end up carry the City due to PA's Geographically polarized primary, but due to Fetterman's strength with Liberal and WWC Whites throughout Philly he was able to win the City with 37% https://t.co/0X5KC08qPu",united federation of planets
9,1.57E+18,"@SparkyBru He certainly is evil , should never represent PA in the senate. His vote would be wrong for all Americans!",9/25/22 21:03,DeeAnnBembry,,261,123,0,1,"@SparkyBru He certainly is evil , should never represent PA in the senate. His vote would be wrong for all Americans!",
