web-scraper-order,web-scraper-start-url,beer_name,beer_name-href,review
"1666729688-1","https://www.beeradvocate.com/beer/top-rated/","Coolship Red","https://www.beeradvocate.com/beer/profile/4/58839/","Rated: 5 by doctorgary from New York

Jun 16, 2022"
"1666729688-2","https://www.beeradvocate.com/beer/top-rated/","Coolship Red","https://www.beeradvocate.com/beer/profile/4/58839/","Reviewed by tekstr1der from New Hampshire

4.3/5  rDev -3.8%
look: 4.25 | smell: 4.75 | taste: 4.25 | feel: 3.5 | overall: 4.25This is likely spot-on for style, but a bit too much pucker for me. Pours a beautiful berry-red with a quick-fading cap of white. Aroma is heavenly raspberry and very mild funk. Flavors are delicious as well, with tons of berry dominating. Very tart. So tart. But, I don't review so much for style attributes, but whether I enjoy. This one took me 2 sittings.May 02, 2022"
"1666729688-3","https://www.beeradvocate.com/beer/top-rated/","Coolship Red","https://www.beeradvocate.com/beer/profile/4/58839/","Reviewed by BBThunderbolt from Kiribati

3.95/5  rDev -11.6%
look: 3.75 | smell: 3.75 | taste: 4 | feel: 3.75 | overall: 4.25Thanks to Roy_Hobbs for this one, as part of the beatings he delivered during NBS BIF #15. 12.7oz Cork and Caged bottle (Packaged Dec 3 2020) poured into 14oz teku. Poured a lovely dark red color with about 1/8 inch of pink head that quickly dissipated and left no lacing.



The aroma was solidly full of raspberry, with just a light bit of grain in the background.



On the tongue, a big hit of bitterness punches the front of the palate, with raspberry dominating the rest.



The body was light, crisp, had decent carb, and a very dry finish.



Drinkability was very good, I'd like to have regular access to this.



Overall, a very good beer. A must-try if you see it.May 01, 2022"
"1666729688-4","https://www.beeradvocate.com/beer/top-rated/","Coolship Red","https://www.beeradvocate.com/beer/profile/4/58839/","Reviewed by brewandbbq from New Hampshire

4.12/5  rDev -7.8%
look: 3.75 | smell: 4.25 | taste: 4.25 | feel: 3.75 | overall: 4375ml bottle from 2012.



Pours dark copper with a burgundy tinge. Quickly fizzling head with zero retention or lacing. Fairly evident raspberries in the nose with faint cider vinegar and diaper. Light bodied with a slickish, limp mouthfeel. Raspberries on the palate with a solid tartness but short of sour or jammy. Finishes with a nice balance of tart and raspberries.Apr 21, 2022"
"1666729688-5","https://www.beeradvocate.com/beer/top-rated/","Coolship Red","https://www.beeradvocate.com/beer/profile/4/58839/","Rated: 4.64 by NYR-Zuuuuc from Connecticut

Apr 13, 2022"
"1666729688-6","https://www.beeradvocate.com/beer/top-rated/","Coolship Red","https://www.beeradvocate.com/beer/profile/4/58839/","Rated by mvogt from Massachusetts

4.21/5  rDev -5.8%
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4 | overall: 4.25Draft at the brewery. 



Lovely clear pinkish red. Smell is tart and kinda funky. Flavor follows, oak and funk manifest most in the swallow.Apr 10, 2022"
"1666729688-7","https://www.beeradvocate.com/beer/top-rated/","Coolship Red","https://www.beeradvocate.com/beer/profile/4/58839/","Rated: 4.34 by sweemzander from Illinois

Feb 22, 2022"
"1666729688-8","https://www.beeradvocate.com/beer/top-rated/","Coolship Red","https://www.beeradvocate.com/beer/profile/4/58839/","Rated: 4.61 by Bhubbard34 from Pennsylvania

Jan 19, 2022"
"1666729688-9","https://www.beeradvocate.com/beer/top-rated/","Coolship Red","https://www.beeradvocate.com/beer/profile/4/58839/","Reviewed by mushroomcloud from Texas

4.24/5  rDev -5.1%
look: 4 | smell: 4.25 | taste: 4.25 | feel: 4.25 | overall: 4.2512.7oz corked and caged on 12/3/20. Opened 1-16-22.

1/2"" pink tinted head, limited retention and ends up as a partial cap and ring. No lacing. The beer is a glowing red/purple with very good clarity - beautiful color. Tart raspberry, oak, light funk, and vinous quality in the nose. Awesome tart raspberry flavor, bright, rich fruit with bracing acidity. Light body, bright entry, medium acid, all in a dry, tart fruit-filled finish. Outstanding.Jan 17, 2022"
"1666729688-10","https://www.beeradvocate.com/beer/top-rated/","Coolship Red","https://www.beeradvocate.com/beer/profile/4/58839/","Rated: 4.39 by o29 from Texas

Jan 15, 2022"
"1666729688-11","https://www.beeradvocate.com/beer/top-rated/","Coolship Red","https://www.beeradvocate.com/beer/profile/4/58839/","Rated: 4.25 by steverx8 from England

Jan 07, 2022"
"1666729688-12","https://www.beeradvocate.com/beer/top-rated/","Coolship Red","https://www.beeradvocate.com/beer/profile/4/58839/","Rated: 4.18 by sarpedon52 from Georgia

Nov 14, 2021"
"1666729688-13","https://www.beeradvocate.com/beer/top-rated/","Coolship Red","https://www.beeradvocate.com/beer/profile/4/58839/","Rated: 4.5 by mattycasey from Massachusetts

Oct 22, 2021"
"1666729688-14","https://www.beeradvocate.com/beer/top-rated/","Coolship Red","https://www.beeradvocate.com/beer/profile/4/58839/","Reviewed by JamFuel from Sweden

4.7/5  rDev +5.1%
look: 4.25 | smell: 4.75 | taste: 4.75 | feel: 4.5 | overall: 4.75Pours a vibrant red with low pink head.



Smell is tart and vinous with notes of fresh raspberries, raspberry jam, lime, oak and bit of funk.



Taste is phenomenal. Tart with tons of fresh raspberries and a bit of jam. Dry and vinous with notes of peach, oak, funk and a bit of bitterness. Nice acidity and tremendous balance.



Mouthfeel is medium and dry with effervescent carbonation.



Overall, a stunning beer. I am a huge fan for raspberries in beer, and this is close to the daddy, Cantillon's Rose de Gambrinus.Oct 19, 2021"
"1666729688-15","https://www.beeradvocate.com/beer/top-rated/","Coolship Red","https://www.beeradvocate.com/beer/profile/4/58839/","Rated: 4.36 by Jkolls from Ohio

Oct 01, 2021"
"1666729688-16","https://www.beeradvocate.com/beer/top-rated/","Coolship Red","https://www.beeradvocate.com/beer/profile/4/58839/","Reviewed by freddyvitols from Texas

4.59/5  rDev +2.7%
look: 4.25 | smell: 4.5 | taste: 4.75 | feel: 4.5 | overall: 4.5Ruby red color somewhat translucent. Licorice and raspberry on the nose. Candied raspberry tart taste with some very yeast notes. Really pops in the mouth; crisp. Lots of flavors here. Solid beer.Sep 01, 2021"
"1666729688-17","https://www.beeradvocate.com/beer/top-rated/","Coolship Red","https://www.beeradvocate.com/beer/profile/4/58839/","Reviewed by Methuselah_honeysuckle

4.5/5  rDev +0.7%
look: 4.25 | smell: 4.75 | taste: 4.25 | feel: 5 | overall: 4.5Very interesting and complex ale. First, this is definitely a sour. I usually do not like sours but this is definitely one I will keep drinking. The nose is a very light raspberry with a hint of yeast or fruit wine influence. It is a beautiful deep red color. The taste definitely has a fruit wine influence with a subtle bubbly or spicy finish. Overall a fantastic well made beer, especially if you enjoy raspberries.Sep 01, 2021"
"1666729688-18","https://www.beeradvocate.com/beer/top-rated/","Coolship Red","https://www.beeradvocate.com/beer/profile/4/58839/","Rated: 4.67 by jcoleMA66 from Massachusetts

Aug 29, 2021"
"1666729688-19","https://www.beeradvocate.com/beer/top-rated/","Coolship Red","https://www.beeradvocate.com/beer/profile/4/58839/","Rated: 4.25 by atlbravsrno1 from New Hampshire

Aug 25, 2021"
