meteors,2
obliterate,2
everything,328
watch,51
dont,73
know,247
glad,3
see,194
messages,8
means,118
moment,62
die,182
alone,200
timecrest,1
epic,534
fantasy,777
meets,104
interactive,3
fiction,159
author,291
lisa,4
j,72
skye,2
introduces,31
ash,29
elden,1
together,348
must,1284
scramble,6
solve,30
puzzle,11
unfroze,1
destroy,277
ash’s,1
world,2234
alyncia,1
discover,232
access,6
forbidden,90
magic–the,1
ability,103
turn,186
back,441
time,862
every,301
choice,147
make,326
matters,32
change,227
outcome,19
massive,36
200000word,1
story,613
leading,59
one,1820
multiple,20
endings,4
immersive,7
within,325
emotional,16
soundtrack,1
explore,25
nonlinear,1
maps,11
new,1234
incredible,41
powers,369
choose,84
live,186
let,68
sie,17
soll,1
den,48
namen,2
des,21
himmels,2
tragen,2
einen,13
der,56
für,9
menschen,4
ihn,1
hören,1
eine,12
hoffnung,5
auf,19
freiheit,1
ist,20
als,13
ein,13
mysteriöser,1
fremder,2
ihrem,2
dorf,1
auftaucht,1
erfährt,1
junge,3
kriegerin,1
skyler,1
dass,8
verschollene,1
prinzessin,2
eiswächter,1
gemeinsam,5
mit,12
ihrer,6
tante,1
bricht,1
um,19
das,24
geheimnis,1
herkunft,1
zu,12
lüften,1
dabei,2
gerät,1
mitten,1
krieg,3
zwischen,4
wächtern,1
elemente,1
und,66
dem,16
gefürchteten,1
lixhclan,1
ihr,11
einziges,1
ziel,1
war,945
es,26
immer,4
tod,2
eltern,1
rächen,1
doch,6
plötzlich,3
scheint,2
würde,1
überleben,1
gesamten,1
königreiches,1
allein,1
ihren,3
händen,1
liegen,1
church,33
rome,16
rules,85
human,371
population,25
continent,43
iron,65
hand,105
beyond,255
borders,29
influence,42
night,249
children,200
vampires,42
werewolves,8
shifter,19
nymphs,2
incubi,1
djinn,5
others,165
steam,4
engines,4
begin,130
chug,1
across,319
newlaid,1
track,27
demons,202
appear,40
shadow,215
young,720
queen,331
amillia,1
albion,3
clings,9
power,993
relying,2
enforcer,5
jarvis,4
keep,243
advisors,5
satisfied,5
enemies,270
bay,24
day,237
marches,12
forward,21
around,139
demand,7
marry,38
give,70
away,225
cousin,43
elizabeth,18
wed,15
driven,72
edge,88
dreams,172
dead,304
lover,44
shane,2
exists,27
carry,29
orders,35
crown,112
kill,151
nonhuman,5
beings,76
sight,34
resistant,1
magics,30
brings,133
battle,445
soldiers,68
dare,38
face,325
including,110
bloodthirsty,26
blue,58
death,513
pirates,23
sneers,1
whispers,35
building,24
behind,212
defeats,3
man,632
able,141
survive,211
dragon,350
damascus,1
summoned,36
zapheal,2
flies,3
aquitaine,1
moving,43
people,589
ready,75
eliminate,9
last,412
bastion,7
abandoned,51
elder,34
contemplates,3
final,185
stand,140
remnants,19
allies,152
captured,67
slavery,42
telos,3
snow,44
leopard,9
struggles,121
lord,355
inquisitor,4
melchizedek,1
murders,14
owner,16
takes,205
planning,15
lure,8
telos’s,1
adopted,22
father,324
admiral,2
deaths,33
doom,58
fighting,123
saved,58
child,203
best,210
hope,314
quick,20
destruction,151
asks,9
question,73
shake,15
thrones,26
awaken,27
legends,80
leaving,106
answers,79
mature,25
audiences,9
full,148
740,1
page,51
novel,329
prequel,18
novella,24
also,299
available,34
general’s,1
claim,95
parts,29
book,769
characters,177
therein,3
originally,19
appeared,26
unpublished,10
terms,33
series,653
island,100
dangerous,321
outside,62
surrounded,46
walls,64
tsunami,2
turbulating,1
place,329
water,57
inside,77
wildlife,8
anyones,5
imagination,70
especially,57
sunset,5
villagers,17
lock,19
tree,44
huts,1
motto,4
anyone,92
remaining,45
forgive,6
forget,48
move,49
girl,241
isla,2
questions,51
whether,48
born,184
prison,39
village’s,2
rulers,34
triple,7
force,155
always,158
wedding,21
competition,15
men,328
women,115
fight,296
someone,103
don’t,29
love,602
looks,37
way,504
realizing,8
step,82
closer,67
learning,49
truth,269
great,387
romance,113
read,166
fans,93
maze,24
runner,8
divergent,2
hunger,27
games,41
dystopian,11
mixed,20
element,11
philosophy,11
packed,16
philosophical,8
transform,26
thinking,15
end,334
jeth,1
cursed,56
birth,89
forced,209
leave,101
homeland,68
find,737
descending,6
overnight,7
goes,83
fervent,1
soldier,57
desert,99
thief,91
lie,71
cheat,6
steal,58
hostile,20
foreign,44
land,622
alongside,30
enigmatic,40
sultry,1
companion,47
ocean,30
vidya,1
undergoes,4
harrowing,25
transformation,17
winged,33
weapon,92
avenge,23
mother,211
save,509
nation,62
fates,46
entwined,15
infamous,35
overlord,7
herran,1
running,87
hunting,32
neither,70
escape,181
immortal,104
serpent,11
follow,101
dark,791
vivian,16
amberville®,2
bestselling,233
whose,256
reshape,16
reality,95
year,165
universe,105
spanned,8
millions,25
worldwide,23
readers,207
invites,9
journey,422
